iter	Passed	Remaining
0	139	138957
1	141	70672
2	143	47677
3	145	36129
4	146	29246
5	149	24750
6	151	21491
7	153	18986
8	155	17082
9	156	15528
10	158	14247
11	159	13171
12	161	12273
13	163	11532
14	165	10880
15	167	10304
16	169	9807
17	171	9333
18	173	8932
19	174	8568
20	176	8232
21	178	7923
22	179	7642
23	181	7388
24	183	7156
25	185	6932
26	186	6713
27	187	6525
28	189	6353
29	191	6187
30	193	6034
31	194	5881
32	196	5750
33	197	5625
34	199	5501
35	201	5385
36	202	5280
37	204	5172
38	205	5074
39	207	4979
40	209	4889
41	210	4811
42	212	4729
43	213	4648
44	215	4572
45	216	4499
46	218	4427
47	219	4359
48	221	4299
49	223	4243
50	224	4183
51	226	4127
52	228	4086
53	230	4040
54	232	3990
55	233	3944
56	235	3895
57	238	3865
58	240	3829
59	241	3786
60	243	3746
61	245	3707
62	246	3672
63	248	3634
64	249	3593
65	251	3564
66	254	3539
67	255	3504
68	257	3469
69	258	3438
70	260	3406
71	261	3372
72	263	3342
73	264	3311
74	266	3282
75	268	3263
76	270	3239
77	271	3212
78	273	3188
79	275	3163
80	276	3136
81	278	3112
82	279	3087
83	281	3072
84	283	3050
85	284	3027
86	286	3003
87	287	2982
88	289	2961
89	290	2939
90	292	2917
91	293	2898
92	296	2887
93	297	2869
94	299	2851
95	301	2836
96	302	2816
97	303	2797
98	305	2780
99	307	2766
100	308	2749
101	310	2732
102	312	2717
103	314	2709
104	315	2693
105	317	2676
106	318	2659
107	320	2644
108	321	2629
109	323	2614
110	324	2599
111	326	2589
112	328	2577
113	329	2564
114	331	2550
115	333	2541
116	335	2528
117	337	2520
118	339	2512
119	340	2500
120	343	2492
121	345	2483
122	347	2475
123	349	2466
124	351	2457
125	352	2446
126	354	2436
127	357	2432
128	359	2425
129	361	2417
130	363	2411
131	365	2403
132	367	2395
133	369	2388
134	371	2379
135	373	2370
136	374	2361
137	376	2353
138	378	2343
139	379	2333
140	381	2324
141	383	2314
142	384	2304
143	386	2294
144	387	2285
145	389	2275
146	390	2266
147	392	2257
148	394	2251
149	395	2242
150	397	2233
151	398	2223
152	400	2214
153	401	2207
154	402	2194
155	403	2184
156	405	2175
157	407	2171
158	409	2164
159	410	2155
160	412	2149
161	413	2141
162	415	2132
163	417	2125
164	419	2120
165	420	2112
166	422	2105
167	422	2093
168	424	2086
169	425	2079
170	427	2071
171	428	2064
172	430	2056
173	431	2050
174	433	2043
175	434	2036
176	436	2029
177	437	2022
178	439	2016
179	441	2010
180	443	2006
181	445	2000
182	447	1996
183	449	1992
184	451	1986
185	452	1980
186	454	1973
187	456	1970
188	458	1966
189	459	1960
190	461	1954
191	463	1950
192	465	1945
193	466	1939
194	468	1935
195	470	1929
196	472	1924
197	474	1920
